page,visual,source_table,fields,measure,business_purpose
Executive Summary,KPI Cards,"ValidationMetrics; CutoffStrategy","sample; pd_cutoff","AUC; KS; Approval Rate; Approved Default Rate","Show headline model and cutoff performance"
Executive Summary,Bar Chart,ScoreBandSummary,risk_grade,"Observed Default Rate","Show risk rank ordering"
Executive Summary,Line Chart,CutoffStrategy,pd_cutoff,"Approval Rate; Approved Default Rate","Show growth vs risk trade-off"
Risk Grade Performance,Matrix,ScoreBandSummary,"risk_grade; policy_action","Accounts; Observed Default Rate; EAD Proxy; Expected Loss; EL Rate","Explain band-level decision impact"
Cutoff Strategy,Line Chart,CutoffStrategy,pd_cutoff,"Approval Rate; Bad Capture Review Decline","Select risk appetite cutoff"
Validation And Calibration,KPI Cards,ValidationMetrics,sample,"AUC; Gini; KS; Brier Score; Calibration Gap","Separate ranking and probability quality"
Validation And Calibration,Combo Chart,CalibrationDeciles,risk_decile,"observed_default_rate; avg_pd","Check calibration by score decile"
Monitoring And Governance,Line Chart,MonitoringPSI,year,"PSI; Default Rate; Average PD","Monitor population and outcome drift"
Monitoring And Governance,Table,RejectInference,scenario,"assumed_reject_bad_rate; inferred_reject_bad_count","Document reject inference sensitivity"
Vintage And Monitoring,Line Chart,VintageAnalysis,vintage_month,"Vintage Bad Rate; Average PD","Track cohort risk and seasoning effects"
Vintage And Monitoring,Column Chart,VintageAnalysis,vintage_quarter,"Vintage Expected Loss; Vintage EL Rate","Show cohort-level expected loss movement"
ECL And Stress Testing,Matrix,IFRS9ECLBridge,"stage; fico_band","EAD; Average PD; ECL Base; Lifetime ECL Proxy","Bridge PD/LGD/EAD into provision discussion"
ECL And Stress Testing,Bar Chart,StressScenarios,scenario,"Stressed Expected Loss; Stressed EL Rate","Show portfolio loss sensitivity under scenarios"
Pricing And Concentration,Matrix,RiskBasedPricing,"risk_grade; policy_action","Required Rate; RAROC Proxy; EL Rate","Translate credit risk into pricing economics"
Pricing And Concentration,Bar Chart,ConcentrationRisk,segment_value,"Concentration Expected Loss; EL Share","Identify top loss-contributing segments"
Governance And Test Evidence,KPI Cards,FormulaTests,status,"Formula Tests Passed; Formula Tests Total","Show formula test evidence"
Governance And Test Evidence,Table,MonitoringTriggers,metric,"trigger_threshold; management_action","Explain monitoring and escalation logic"
Governance And Test Evidence,Table,AcceptanceStatus,acceptance_criterion,"status; evidence","Show plan completion traceability"
