risk_decile,accounts,observed_default_rate,avg_pd,avg_score,good_woe_score,calibration_gap
1,124390,0.08523193182731731,0.08523193182731731,555.1005987184961,0.37898469117135264,0.0
2,127169,0.13117190510265866,0.13117190510265866,520.2841954822964,0.20228113395137795,0.0
3,128618,0.14629367584630457,0.14629367584630457,511.14721837075314,0.09724918600462183,0.0
4,129360,0.17542517006802721,0.17542517006802721,495.5433283916054,0.05519819197016585,0.0
5,129399,0.19137705855532114,0.19137705855532114,487.85605718958175,0.016584957318884958,0.0
6,129923,0.20562948823533939,0.20562948823533939,481.39184026655164,-0.01828658896894662,0.0
7,130340,0.22033911308884457,0.22033911308884457,475.05965254829493,-0.049248409777963874,0.0
8,131307,0.24965919562551883,0.24965919562551883,463.28289374206145,-0.08122896588530493,0.0
9,130421,0.2707462755231136,0.2707462755231136,455.37756313396335,-0.1369286904744496,0.0
10,130594,0.3317074291315068,0.3317074291315068,434.43202087692214,-0.22238996554485294,0.0
