year,accounts,default_rate,avg_pd,psi_vs_2015
2007,599,0.2637729549248748,0.19087800110303602,0.06941552486032274
2008,2393,0.20727120768909318,0.18521999469267725,0.1062843932808347
2009,5281,0.1369058890361674,0.1584715611328168,0.5761054134380861
2010,12537,0.14014517029592408,0.16078620760706713,0.5101521503421809
2011,21721,0.15178859168546568,0.15858259169465344,0.567305631915901
2012,53367,0.1619727546985965,0.18870156998604665,0.08085087040735356
2013,134804,0.15595976380522833,0.1972513497078627,0.029500030511555607
2014,223102,0.18449408790598024,0.20520415527623917,0.001738654313351856
2015,375543,0.2018463930894731,0.20778431531581157,0.0
2016,293057,0.23281818895300233,0.20434295434343452,0.003947379298985469
2017,169117,0.23127184138791487,0.1962543787860158,0.029209086796001295
