risk_grade,policy_action,accounts,ead,avg_pd,stressed_pd,avg_lgd,stressed_lgd,expected_loss,loss_at_scenario,scenario,unexpected_loss_buffer,loss_multiple_vs_base_el,interpretation
A - Low,Auto approve,134769,2177929800,0.08523193182731731,0.08523193182731731,0.2983107391165624,0.2983107391165624,55637596.13435164,55637596.13435164,Base,0.0,1.0,Expected loss under current formula PD/LGD.
B - Moderate,Approve standard,269536,4294368650,0.13873279047448162,0.13873279047448162,0.35115324112548973,0.35115324112548973,211214411.77164474,211214411.77164474,Base,0.0,1.0,Expected loss under current formula PD/LGD.
C - Watch,Approve with limit/pricing control,269536,3842894375,0.1834011143116742,0.1834011143116742,0.38322843701768966,0.38322843701768966,269744161.6731733,269744161.6731733,Base,0.0,1.0,Expected loss under current formula PD/LGD.
D - High,Manual review,404304,5550822325,0.22520926564990093,0.22520926564990093,0.42570278800110806,0.42570278800110806,526945104.92144275,526945104.92144275,Base,0.0,1.0,Expected loss under current formula PD/LGD.
E - Very High,Decline or require mitigants,269536,3551683325,0.30122685232731017,0.30122685232731017,0.4411884497803633,0.4411884497803633,466496044.2619922,466496044.2619922,Base,0.0,1.0,Expected loss under current formula PD/LGD.
A - Low,Auto approve,134769,2177929800,0.08523193182731731,0.10227831819278077,0.2983107391165624,0.31322627607239056,55637596.13435164,70103371.12928307,Mild Downturn,14465774.99493143,1.26,Moderate PD/LGD deterioration.
B - Moderate,Approve standard,269536,4294368650,0.13873279047448162,0.16647934856937793,0.35115324112548973,0.36871090318176425,211214411.77164474,266130158.83227238,Mild Downturn,54915747.06062764,1.26,Moderate PD/LGD deterioration.
C - Watch,Approve with limit/pricing control,269536,3842894375,0.1834011143116742,0.220081337174009,0.38322843701768966,0.40238985886857415,269744161.6731733,339877643.7081984,Mild Downturn,70133482.03502512,1.2600000000000002,Moderate PD/LGD deterioration.
D - High,Manual review,404304,5550822325,0.22520926564990093,0.2702511187798811,0.42570278800110806,0.4469879274011635,526945104.92144275,663950832.201018,Mild Downturn,137005727.27957523,1.2600000000000002,Moderate PD/LGD deterioration.
E - Very High,Decline or require mitigants,269536,3551683325,0.30122685232731017,0.3614722227927722,0.4411884497803633,0.4632478722693815,466496044.2619922,587785015.7701102,Mild Downturn,121288971.50811803,1.2600000000000002,Moderate PD/LGD deterioration.
A - Low,Auto approve,134769,2177929800,0.08523193182731731,0.12784789774097596,0.2983107391165624,0.33410802781054993,55637596.13435164,93471161.50571077,Adverse,37833565.371359125,1.6800000000000002,Risk appetite stress case.
B - Moderate,Approve standard,269536,4294368650,0.13873279047448162,0.20809918571172242,0.35115324112548973,0.39329163006054857,211214411.77164474,354840211.7763632,Adverse,143625800.00471845,1.6800000000000002,Risk appetite stress case.
C - Watch,Approve with limit/pricing control,269536,3842894375,0.1834011143116742,0.2751016714675113,0.38322843701768966,0.4292158494598125,269744161.6731733,453170191.6109312,Adverse,183426029.9377579,1.6800000000000002,Risk appetite stress case.
D - High,Manual review,404304,5550822325,0.22520926564990093,0.3378138984748514,0.42570278800110806,0.4767871225612412,526945104.92144275,885267776.268024,Adverse,358322671.3465812,1.6800000000000004,Risk appetite stress case.
E - Very High,Decline or require mitigants,269536,3551683325,0.30122685232731017,0.4518402784909653,0.4411884497803633,0.494131063754007,466496044.2619922,783713354.360147,Adverse,317217310.0981548,1.6800000000000002,Risk appetite stress case.
A - Low,Auto approve,134769,2177929800,0.08523193182731731,0.1619406704719029,0.2983107391165624,0.37288842389570304,55637596.13435164,132139290.81908515,Severe,76501694.68473351,2.375,Unexpected loss proxy for contingency planning.
B - Moderate,Approve standard,269536,4294368650,0.13873279047448162,0.26359230190151506,0.35115324112548973,0.4389415514068622,211214411.77164474,501634227.9576562,Severe,290419816.18601143,2.3749999999999996,Unexpected loss proxy for contingency planning.
C - Watch,Approve with limit/pricing control,269536,3842894375,0.1834011143116742,0.3484621171921809,0.38322843701768966,0.4790355462721121,269744161.6731733,640642383.9737866,Severe,370898222.3006133,2.375,Unexpected loss proxy for contingency planning.
D - High,Manual review,404304,5550822325,0.22520926564990093,0.4278976047348118,0.42570278800110806,0.5321284850013851,526945104.92144275,1251494624.1884267,Severe,724549519.266984,2.3750000000000004,Unexpected loss proxy for contingency planning.
E - Very High,Decline or require mitigants,269536,3551683325,0.30122685232731017,0.5723310194218894,0.4411884497803633,0.5514855622254542,466496044.2619922,1107928105.1222317,Severe,641432060.8602395,2.3750000000000004,Unexpected loss proxy for contingency planning.
