sample,model_name,rows,observed_default_rate,average_pd_or_score,calibration_gap,auc,gini,ks,brier_score
train_pre_2016,Expanded WOE formula scorecard,183002,0.16161572004677544,0.16161572004677544,0.0,0.7505058288675824,0.5010116577351649,0.37897705646563284,0.11679998985339932
train_pre_2016,Logistic regression challenger,183002,0.16161572004677544,0.1616817813830995,-6.606133632405808e-05,0.7772488726744521,0.5544977453489042,0.4119409671648815,0.11232776072904672
validation_2016,Expanded WOE formula scorecard,85177,0.17844018925296734,0.14500475743345098,0.03343543181951636,0.7438982242256728,0.4877964484513455,0.36086512022141437,0.1278737059999043
validation_2016,Logistic regression challenger,85177,0.17844018925296734,0.14677287627974553,0.03166731297322181,0.7732226487107522,0.5464452974215044,0.4004414019673353,0.12240013201828584
test_2017,Expanded WOE formula scorecard,46369,0.1570661433285169,0.1401490591443809,0.01691708418413601,0.7648588259721735,0.529717651944347,0.399813768782547,0.11357572523470065
test_2017,Logistic regression challenger,46369,0.1570661433285169,0.14269381419309954,0.014372329135417361,0.7931530982749875,0.586306196549975,0.43975519952625586,0.1078816029487304
train_pre_2016,WOE logistic scorecard,183002,0.16161572004677544,0.1616139752464021,1.7448003733488981e-06,0.7677384154732878,0.5354768309465756,0.3987342804174669,0.1136992029660248
validation_2016,WOE logistic scorecard,85177,0.17844018925296734,0.14415923435290387,0.03428095490006347,0.7615424304557733,0.5230848609115466,0.38178983967273233,0.12431931480128483
test_2017,WOE logistic scorecard,46369,0.1570661433285169,0.13894783860543225,0.01811830472308465,0.7808048449849906,0.5616096899699812,0.41761133286507024,0.11021287511397453
