expanded_formula_decile,accounts,observed_default_rate,avg_formula_pd,avg_formula_score,good_accounts,bad_accounts
1,18301,0.03278509371072619,0.03278509371072619,-0.42044501993687805,17701,600
2,18300,0.05382513661202186,0.05382513661202186,-0.34419095200532596,17315,985
3,18300,0.07546448087431694,0.07546448087431694,-0.30732586227721725,16919,1381
4,18300,0.08256830601092896,0.08256830601092896,-0.28090591967265677,16789,1511
5,18300,0.1051912568306011,0.1051912568306011,-0.2562985648419546,16375,1925
6,18300,0.11666666666666667,0.11666666666666667,-0.23200046147038395,16165,2135
7,18300,0.15131147540983605,0.15131147540983605,-0.19965653797349453,15531,2769
8,18300,0.193224043715847,0.193224043715847,0.06678645890730393,14764,3536
9,18300,0.296120218579235,0.296120218579235,0.46768049664416167,12881,5419
10,18301,0.5089885798590241,0.5089885798590241,0.5501043271332291,8986,9315
