decile,formula_pd,formula_observed,formula_gap,woe_logistic_pd,woe_logistic_observed,woe_logistic_gap,raw_logistic_pd,raw_logistic_observed,raw_logistic_gap
1,0.03278509371072619,0.027972889710412816,-0.004812204000313371,0.02277819889565777,0.02577538592267384,0.002997187027016072,0.020988830729192467,0.021195824106295474,0.0002069933771030076
2,0.05382513661202186,0.05711556829035339,0.003290431678331533,0.04409662273133621,0.050784856879039705,0.0066882341477034965,0.040242562217332904,0.039611502570938865,-0.0006310596463940388
3,0.07546448087431694,0.07489380728817349,-0.000570673586143447,0.061233601291823786,0.06803671189146049,0.0068031105996367025,0.05669290945453322,0.059707473452213985,0.0030145639976807623
4,0.08256830601092896,0.08300758795125317,0.0004392819403242071,0.07879598239691665,0.08216783216783216,0.003371849770915508,0.07455003525889371,0.0781546239730356,0.0036045887141418903
5,0.1051912568306011,0.11940673705379588,0.014215480223194785,0.0985407873235419,0.11083007587951253,0.012289288555970626,0.09502272628649668,0.10336590662323561,0.008343180336738934
6,0.11666666666666667,0.14635328325660285,0.029686616589936182,0.12279574241806371,0.14096413068311628,0.01816838826505257,0.12105420603560403,0.1316909294512878,0.010636723415683766
7,0.15131147540983605,0.2134387351778656,0.06212725976802955,0.155847627826221,0.18028169014084508,0.024434062314624083,0.15751749428878173,0.1832984414980228,0.025780947209241067
8,0.193224043715847,0.22473901910577113,0.03151497538992412,0.20932158161016506,0.24117790216597712,0.03185632055581206,0.2147509709893032,0.23528015194681862,0.02052918095751541
9,0.296120218579235,0.3037667071688943,0.007646488589659328,0.3106011095997433,0.33968090581574883,0.029079796216005538,0.3149214652294778,0.34189571024916515,0.02697424501968737
10,0.5089885798590241,0.5735909822866344,0.06460240242761028,0.5050357986659237,0.5809265944645006,0.07589079579857683,0.5161680561925377,0.5853794642857143,0.06921140809317661
