model,sample,auc,gini,ks,brier,calibration_gap,rows,observed_default_rate
Coarse expanded WOE formula,train_pre_2016,0.7505063686752433,0.5010127373504867,0.37897705646563284,0.1167909741016211,0.0,183002,0.16161572004677544
Coarse expanded WOE formula,validation_2016,0.7443361754454458,0.48867235089089167,0.3617043508289281,0.12782898727512512,0.033250803654041095,85177,0.17844018925296734
Coarse expanded WOE formula,test_2017,0.7649913667491666,0.5299827334983331,0.4003016257752166,0.11356582618871348,0.01615317509641717,46369,0.1570661433285169
Final clean WOE-logistic scorecard,train_pre_2016,0.7677384154732878,0.5354768309465756,0.3987342804174669,0.1136992029660248,1.7448003733488981e-06,183002,0.16161572004677544
Final clean WOE-logistic scorecard,validation_2016,0.7615424304557733,0.5230848609115466,0.38178983967273233,0.12431931480128483,0.03428095490006347,85177,0.17844018925296734
Final clean WOE-logistic scorecard,test_2017,0.7808048449849906,0.5616096899699812,0.41761133286507024,0.11021287511397453,0.01811830472308465,46369,0.1570661433285169
Raw logistic challenger,train_pre_2016,0.7772488726744521,0.5544977453489042,0.4119409671648815,0.11232776072904672,-6.606133632405808e-05,183002,0.16161572004677544
Raw logistic challenger,validation_2016,0.7732226487107522,0.5464452974215044,0.4004414019673353,0.12240013201828584,0.03166731297322181,85177,0.17844018925296734
Raw logistic challenger,test_2017,0.7931530982749875,0.586306196549975,0.43975519952625586,0.1078816029487304,0.014372329135417361,46369,0.1570661433285169
